店家帳號,上架時間,上架天數,itemID,商品標題,商品網址,總銷售件數,30天內銷售件數,售價,平均日銷(總銷件/上架天數),喜歡數,消費潛力(總銷件/喜歡數),評價數,評價綜合分數,給評率(幾個評價/總銷件),商品選項,商品api,商店api,店鋪名稱,選項售價,選項銷量
43178885,2021-01-07 00:47:41,70,8507712938,【Ptcg 小陳】S4aF 多龍巴魯托 拉普拉斯 顫弦蠑螈 焚焰蚣 V & VMAX 寶可夢卡牌,http://shopee.tw/【Ptcg 小陳】S4aF 多龍巴魯托 拉普拉斯 顫弦蠑螈 焚焰蚣 V & VMAX 寶可夢卡牌-i.43178885.8507712938,101,33,"30,150",1.4428571428571428,19,5.315789473684211,18,5.0,0.1782178217821782,"轟雷金剛猩V,轟雷金剛猩VMAX,焚焰蚣V,焚焰蚣VMAX,拉普拉斯V,拉普拉斯VMAX,顫弦蠑螈V,顫弦蠑螈VMAX,多龍V,多龍Vmax",https://shopee.tw/api/v2/item/get?itemid=8507712938&shopid=43178885,https://shopee.tw/api/v4/product/get_shop_info?shopid=43178885,【Ptcg 小陳 】寶可夢卡片、福袋專賣店,"50.0,80.0,150.0,30.0,50.0,30.0,50.0,35.0,150.0,100.0","18,2,5,11,24,7,22,7,4,1"
19574919,2021-02-20 18:46:56,25,8416564682,🎉正版Gaole 寶可夢卡匣福袋🎉阿爾宙斯/皮卡丘/騎拉帝納/噴火龍/露奈雅拉,http://shopee.tw/🎉正版Gaole 寶可夢卡匣福袋🎉阿爾宙斯/皮卡丘/騎拉帝納/噴火龍/露奈雅拉-i.19574919.8416564682,374,100,"20,35",14.96,12,31.166666666666668,13,5.0,0.034759358288770054,"阿爾宙斯/皮卡丘,騎拉帝納（天空、地面）,索爾迦雷歐、露奈雅拉（二弹）,帝牙盧卡、帕路奇亞,雷吉奇卡斯、達克莱伊,噴火龍X、Y,鳳王、洛奇亞,炎帝、水君,卡璞・鳴鳴、雷公,索爾迦雷歐、露奈雅拉（ㄧ彈）",https://shopee.tw/api/v2/item/get?itemid=8416564682&shopid=19574919,https://shopee.tw/api/v4/product/get_shop_info?shopid=19574919,jennifer7101028,"35.0,30.0,30.0,20.0,25.0,25.0,30.0,30.0,35.0,25.0","19,10,12,144,3,122,30,12,9,13"
64476915,2020-08-26 01:14:15,204,6648822648,【OPer】PTCG 福袋 寶可夢 超值福袋〈必出GX V〉、各式福袋 小朋友最愛 生日禮物 補習班獎勵 學校禮物 送禮,http://shopee.tw/【OPer】PTCG 福袋 寶可夢 超值福袋〈必出GX V〉、各式福袋 小朋友最愛 生日禮物 補習班獎勵 學校禮物 送禮-i.64476915.6648822648,23729,2679,"7,49",116.31862745098039,401,59.17456359102244,946,4.958686,0.03986682961776729,"超值福袋,百寶福袋,開心福袋,閃閃福袋",https://shopee.tw/api/v2/item/get?itemid=6648822648&shopid=64476915,https://shopee.tw/api/v4/product/get_shop_info?shopid=64476915,OPer商城,"49.0,29.0,7.0,39.0","1210,3516,9151,9852"
14308055,2021-01-17 02:01:49,60,5776664457,『烏龜小舖』4張1元 隨機普卡與閃卡 寶可夢PTCG 神奇寶貝卡片 中文版 生日禮物 補習班 學校,http://shopee.tw/『烏龜小舖』4張1元 隨機普卡與閃卡 寶可夢PTCG 神奇寶貝卡片 中文版 生日禮物 補習班 學校-i.14308055.5776664457,61,0,"1,3",1.0166666666666666,1,61.0,2,5.0,0.03278688524590164,"中文 隨機 一般卡4張,中文 隨機 閃卡1張,中文 隨機 訓練家卡1張",https://shopee.tw/api/v2/item/get?itemid=5776664457&shopid=14308055,https://shopee.tw/api/v4/product/get_shop_info?shopid=14308055, 烏龜小舖,"1.0,5.0,3.0","61,0,0"
189474252,2021-03-08 17:07:39,9,7281084673,【咪狗卡鋪】PTCG 寶可夢 卡包 劍盾 set b (瑪俐、回收網、老大、氣球、大護符、先機球）,http://shopee.tw/【咪狗卡鋪】PTCG 寶可夢 卡包 劍盾 set b (瑪俐、回收網、老大、氣球、大護符、先機球）-i.189474252.7281084673,0,0,"29,29",0.0,1,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=7281084673&shopid=189474252,https://shopee.tw/api/v4/product/get_shop_info?shopid=189474252,【咪狗卡鋪】PTCG、YGO、GAOLE,29.0,0
9042594,2020-05-14 15:43:16,307,7033808904,【hannfu】PTCG 寶可夢 10抽必中全圖人物 莉莉艾 阿塞蘿拉 菱形鳴鳴 皮卡丘與捷克羅姆⋯等,http://shopee.tw/【hannfu】PTCG 寶可夢 10抽必中全圖人物 莉莉艾 阿塞蘿拉 菱形鳴鳴 皮卡丘與捷克羅姆⋯等-i.9042594.7033808904,63,0,"100,100",0.20521172638436483,48,1.3125,5,4.2,0.07936507936507936,,https://shopee.tw/api/v2/item/get?itemid=7033808904&shopid=9042594,https://shopee.tw/api/v4/product/get_shop_info?shopid=9042594,a35316311,100.0,63
171469804,2021-03-15 21:13:47,2,8626282681,（收）寶可夢 ptcg 開放賽卡包.莉莉艾.古茲馬.竹蘭.未拆卡包,http://shopee.tw/（收）寶可夢 ptcg 開放賽卡包.莉莉艾.古茲馬.竹蘭.未拆卡包-i.171469804.8626282681,0,0,"2000,2000",0.0,0,0.0,0,0.0,0.0,,https://shopee.tw/api/v2/item/get?itemid=8626282681&shopid=171469804,https://shopee.tw/api/v4/product/get_shop_info?shopid=171469804,c2829266,2000.0,0
235197799,2020-12-14 19:52:02,93,4669240970,【日本通】保底福袋一包20 新年福袋 ptcg 寶可夢  黑噴 噴火龍 色違 莉莉艾 瑪莉 vmax 中文版,http://shopee.tw/【日本通】保底福袋一包20 新年福袋 ptcg 寶可夢  黑噴 噴火龍 色違 莉莉艾 瑪莉 vmax 中文版-i.235197799.4669240970,276,89,"20,80",2.967741935483871,19,14.526315789473685,6,3.833333,0.021739130434782608,"平價福袋,超值福袋,豪華福袋",https://shopee.tw/api/v2/item/get?itemid=4669240970&shopid=235197799,https://shopee.tw/api/v4/product/get_shop_info?shopid=235197799,tarankaaa,"20.0,50.0,80.0","0,1,275"
4716388,2020-03-07 14:01:34,375,3128773756,【窩作夥】 PTCG 寶可夢 莉莉艾 赤紅的挑戰 莉佳的款待 竹蘭 正輝的解析 實用支援者,http://shopee.tw/【窩作夥】 PTCG 寶可夢 莉莉艾 赤紅的挑戰 莉佳的款待 竹蘭 正輝的解析 實用支援者-i.4716388.3128773756,750,8,"5,8",2.0,8,93.75,114,5.0,0.152,"莉莉艾 ,赤紅的挑戰 ,赤紅的挑戰 閃卡,莉佳的款待 ,莉佳的款待 閃卡,竹蘭,正輝的解析,正輝的解析 閃卡",https://shopee.tw/api/v2/item/get?itemid=3128773756&shopid=4716388,https://shopee.tw/api/v4/product/get_shop_info?shopid=4716388,【窩作夥】,"5.0,5.0,8.0,5.0,8.0,5.0,5.0,8.0","436,15,10,31,24,168,39,27"
99017603,2020-08-12 20:57:00,217,3946396978,"必中GX,TT寶可夢Ptcg福袋 莉莉艾 阿賽蘿拉 全正版 有機會獲得金卡全圖","http://shopee.tw/必中GX,TT寶可夢Ptcg福袋 莉莉艾 阿賽蘿拉 全正版 有機會獲得金卡全圖-i.99017603.3946396978",17,0,"60,60",0.07834101382488479,11,1.5454545454545454,2,5.0,0.11764705882352941,,https://shopee.tw/api/v2/item/get?itemid=3946396978&shopid=99017603,https://shopee.tw/api/v4/product/get_shop_info?shopid=99017603,kid0126,60.0,17
